order_id,order_date,country,category,product,quantity,unit_price,revenue,payment_method,status
ORD-100053,2025-10-08,United States,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100054,2025-10-08,Canada,Home,Air Purifier,1,149.00,149.00,bnpl,completed
ORD-100055,2025-10-08,United States,Beauty,Face Serum,2,32.00,64.00,card,completed
ORD-100056,2025-10-09,Poland,Home,Air Purifier,2,149.00,298.00,apple_pay,completed
ORD-100057,2025-10-09,Poland,Electronics,Wireless Earbuds,2,79.00,158.00,card,completed
ORD-100058,2025-10-09,Germany,Home,Coffee Grinder,1,49.00,49.00,paypal,completed
ORD-100059,2025-10-09,United States,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100060,2025-10-09,Canada,Home,Coffee Grinder,1,49.00,49.00,bnpl,completed
ORD-100061,2025-10-09,Spain,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100062,2025-10-10,France,Apparel,Rain Jacket,2,120.00,240.00,card,completed
ORD-100063,2025-10-10,United Kingdom,Apparel,Wool Sweater,1,70.00,70.00,bnpl,completed
ORD-100064,2025-10-10,United States,Home,Air Purifier,2,149.00,298.00,paypal,completed
ORD-100065,2025-10-10,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100066,2025-10-10,Germany,Electronics,Bluetooth Speaker,1,59.00,59.00,apple_pay,completed
ORD-100067,2025-10-10,United Kingdom,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100068,2025-10-10,France,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100069,2025-10-11,United States,Electronics,USB-C Hub,1,39.00,39.00,bnpl,completed
ORD-100070,2025-10-11,United Kingdom,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100071,2025-10-11,Canada,Electronics,Bluetooth Speaker,2,59.00,118.00,card,completed
ORD-100072,2025-10-11,United Kingdom,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100073,2025-10-11,Poland,Electronics,Bluetooth Speaker,1,59.00,59.00,apple_pay,completed
ORD-100074,2025-10-11,Germany,Apparel,Running Shoes,1,95.00,95.00,apple_pay,completed
ORD-100075,2025-10-11,Spain,Apparel,Rain Jacket,1,120.00,120.00,paypal,completed
ORD-100076,2025-10-11,Canada,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100077,2025-10-11,United States,Apparel,Wool Sweater,1,70.00,70.00,card,completed
ORD-100078,2025-10-12,United States,Home,Desk Lamp,2,35.00,70.00,card,completed
ORD-100079,2025-10-12,United Kingdom,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100080,2025-10-12,United Kingdom,Electronics,Bluetooth Speaker,1,59.00,59.00,paypal,completed
ORD-100081,2025-10-12,United States,Beauty,Hair Dryer,1,89.00,89.00,bnpl,completed
ORD-100082,2025-10-12,United Kingdom,Beauty,Hair Dryer,1,89.00,89.00,paypal,completed
ORD-100083,2025-10-12,Canada,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100084,2025-10-12,France,Home,Coffee Grinder,2,49.00,98.00,apple_pay,completed
ORD-100085,2025-10-12,Germany,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100086,2025-10-12,United States,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100087,2025-10-13,United States,Beauty,Hair Dryer,1,89.00,89.00,card,refunded
ORD-100088,2025-10-13,Germany,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100089,2025-10-13,United States,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100090,2025-10-13,United States,Apparel,Wool Sweater,2,70.00,140.00,card,completed
ORD-100091,2025-10-13,United Kingdom,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100092,2025-10-13,United Kingdom,Apparel,Rain Jacket,1,120.00,120.00,apple_pay,completed
ORD-100093,2025-10-13,Spain,Electronics,Smart Watch,1,199.00,199.00,paypal,completed
ORD-100094,2025-10-14,Poland,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100095,2025-10-14,Germany,Home,Desk Lamp,2,35.00,70.00,card,completed
ORD-100096,2025-10-14,France,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100097,2025-10-14,United States,Beauty,Hair Dryer,1,89.00,89.00,apple_pay,completed
ORD-100098,2025-10-14,United Kingdom,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100099,2025-10-14,Germany,Apparel,Rain Jacket,1,120.00,120.00,apple_pay,completed
ORD-100100,2025-10-14,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100101,2025-10-14,Germany,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100102,2025-10-15,Romania,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100103,2025-10-15,United Kingdom,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100104,2025-10-15,Poland,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100105,2025-10-15,Romania,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100106,2025-10-15,United States,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100107,2025-10-16,Canada,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100108,2025-10-16,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100109,2025-10-16,Germany,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100110,2025-10-16,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100111,2025-10-17,France,Electronics,Smart Watch,2,199.00,398.00,bnpl,refunded
ORD-100112,2025-10-17,United States,Apparel,Rain Jacket,1,120.00,120.00,paypal,completed
ORD-100113,2025-10-17,Germany,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100114,2025-10-17,Germany,Electronics,Wireless Earbuds,2,79.00,158.00,card,completed
ORD-100115,2025-10-17,France,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100116,2025-10-17,Romania,Home,Coffee Grinder,1,49.00,49.00,paypal,completed
ORD-100117,2025-10-17,Germany,Apparel,Rain Jacket,1,120.00,120.00,paypal,completed
ORD-100118,2025-10-17,Spain,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100119,2025-10-18,United States,Electronics,USB-C Hub,1,39.00,39.00,apple_pay,completed
ORD-100120,2025-10-18,United Kingdom,Home,Desk Lamp,1,35.00,35.00,bnpl,completed
ORD-100121,2025-10-18,Germany,Electronics,Wireless Earbuds,2,79.00,158.00,paypal,completed
ORD-100122,2025-10-18,United States,Electronics,Wireless Earbuds,3,79.00,237.00,paypal,completed
ORD-100123,2025-10-18,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100124,2025-10-19,United Kingdom,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100125,2025-10-19,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100126,2025-10-19,Poland,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100127,2025-10-19,Poland,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100128,2025-10-19,United States,Home,Desk Lamp,1,35.00,35.00,paypal,completed
ORD-100129,2025-10-19,Germany,Beauty,Hair Dryer,2,89.00,178.00,card,refunded
ORD-100130,2025-10-19,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100131,2025-10-19,United States,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100132,2025-10-20,Spain,Home,Air Purifier,1,149.00,149.00,apple_pay,completed
ORD-100133,2025-10-20,United States,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100134,2025-10-20,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,paypal,completed
ORD-100135,2025-10-20,United States,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100136,2025-10-20,Germany,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100137,2025-10-20,United Kingdom,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100138,2025-10-20,United States,Apparel,Wool Sweater,2,70.00,140.00,card,completed
ORD-100139,2025-10-21,Spain,Home,Coffee Grinder,1,49.00,49.00,bnpl,completed
ORD-100140,2025-10-21,United States,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100141,2025-10-21,United Kingdom,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100142,2025-10-21,France,Home,Coffee Grinder,2,49.00,98.00,apple_pay,completed
ORD-100143,2025-10-21,United Kingdom,Home,Air Purifier,2,149.00,298.00,card,completed
ORD-100144,2025-10-21,France,Electronics,USB-C Hub,3,39.00,117.00,paypal,completed
ORD-100145,2025-10-21,United States,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100146,2025-10-21,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100147,2025-10-21,United Kingdom,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100148,2025-10-22,Romania,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100149,2025-10-22,United States,Electronics,Bluetooth Speaker,2,59.00,118.00,paypal,completed
ORD-100150,2025-10-22,Germany,Home,Air Purifier,1,149.00,149.00,bnpl,completed
ORD-100151,2025-10-22,Germany,Home,Desk Lamp,2,35.00,70.00,card,completed
ORD-100152,2025-10-22,United Kingdom,Home,Air Purifier,1,149.00,149.00,bnpl,completed
ORD-100153,2025-10-22,United States,Apparel,Wool Sweater,1,70.00,70.00,bnpl,completed
ORD-100154,2025-10-22,Poland,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100155,2025-10-22,United States,Electronics,USB-C Hub,1,39.00,39.00,paypal,completed
ORD-100156,2025-10-23,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100157,2025-10-23,Romania,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100158,2025-10-23,Poland,Beauty,Hair Dryer,1,89.00,89.00,apple_pay,completed
ORD-100159,2025-10-23,United States,Beauty,Hair Dryer,3,89.00,267.00,card,completed
ORD-100160,2025-10-23,Poland,Home,Coffee Grinder,1,49.00,49.00,bnpl,completed
ORD-100161,2025-10-24,France,Home,Air Purifier,1,149.00,149.00,paypal,refunded
ORD-100162,2025-10-24,Germany,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100163,2025-10-24,France,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100164,2025-10-24,Germany,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100165,2025-10-24,Romania,Apparel,Running Shoes,1,95.00,95.00,bnpl,completed
ORD-100166,2025-10-24,Germany,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100167,2025-10-24,Romania,Apparel,Wool Sweater,1,70.00,70.00,card,completed
ORD-100168,2025-10-24,United States,Home,Desk Lamp,2,35.00,70.00,card,completed
ORD-100169,2025-10-24,United States,Home,Coffee Grinder,2,49.00,98.00,card,completed
ORD-100170,2025-10-25,Canada,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100171,2025-10-25,Canada,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100172,2025-10-25,United States,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100173,2025-10-25,Germany,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100174,2025-10-25,United States,Beauty,Face Serum,3,32.00,96.00,card,completed
ORD-100175,2025-10-25,United States,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100176,2025-10-25,United Kingdom,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100177,2025-10-25,United States,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100178,2025-10-26,United States,Beauty,Hair Dryer,1,89.00,89.00,bnpl,refunded
ORD-100179,2025-10-26,Germany,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100180,2025-10-26,Canada,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100181,2025-10-26,Germany,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100182,2025-10-26,United States,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100183,2025-10-26,United States,Home,Coffee Grinder,1,49.00,49.00,apple_pay,completed
ORD-100184,2025-10-26,Romania,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100185,2025-10-26,Spain,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100186,2025-10-27,Germany,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100187,2025-10-27,Canada,Beauty,Hair Dryer,2,89.00,178.00,paypal,completed
ORD-100188,2025-10-27,France,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100189,2025-10-27,Canada,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100190,2025-10-27,Poland,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100191,2025-10-28,United States,Apparel,Rain Jacket,2,120.00,240.00,card,completed
ORD-100192,2025-10-28,United States,Apparel,Running Shoes,1,95.00,95.00,paypal,refunded
ORD-100193,2025-10-28,Poland,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100194,2025-10-28,United Kingdom,Beauty,Face Serum,2,32.00,64.00,card,completed
ORD-100195,2025-10-29,France,Home,Air Purifier,1,149.00,149.00,paypal,completed
ORD-100196,2025-10-29,United States,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100197,2025-10-29,Germany,Apparel,Running Shoes,1,95.00,95.00,bnpl,refunded
ORD-100198,2025-10-29,United States,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100199,2025-10-30,Poland,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100200,2025-10-30,France,Home,Desk Lamp,2,35.00,70.00,card,refunded
ORD-100201,2025-10-30,Spain,Beauty,Hair Dryer,1,89.00,89.00,paypal,completed
ORD-100202,2025-10-30,United States,Electronics,USB-C Hub,1,39.00,39.00,bnpl,completed
ORD-100203,2025-10-30,Romania,Home,Desk Lamp,2,35.00,70.00,card,completed
ORD-100204,2025-10-30,Germany,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100205,2025-10-30,United States,Apparel,Wool Sweater,1,70.00,70.00,apple_pay,completed
ORD-100206,2025-10-31,Spain,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100207,2025-10-31,France,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100208,2025-10-31,Poland,Beauty,Hair Dryer,1,89.00,89.00,apple_pay,completed
ORD-100209,2025-10-31,Spain,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100210,2025-10-31,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100211,2025-10-31,United States,Home,Desk Lamp,1,35.00,35.00,apple_pay,completed
ORD-100212,2025-10-31,France,Apparel,Rain Jacket,1,120.00,120.00,bnpl,completed
ORD-100213,2025-10-31,United States,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100214,2025-10-31,United States,Electronics,USB-C Hub,3,39.00,117.00,card,completed
ORD-100215,2025-11-01,United States,Home,Desk Lamp,1,35.00,35.00,paypal,completed
ORD-100216,2025-11-01,Spain,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100217,2025-11-01,United Kingdom,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100218,2025-11-01,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100219,2025-11-01,United Kingdom,Beauty,Hair Dryer,1,89.00,89.00,paypal,completed
ORD-100220,2025-11-01,Germany,Apparel,Rain Jacket,2,120.00,240.00,paypal,completed
ORD-100221,2025-11-01,Romania,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100222,2025-11-02,United Kingdom,Electronics,Smart Watch,1,199.00,199.00,paypal,completed
ORD-100223,2025-11-02,Spain,Electronics,USB-C Hub,2,39.00,78.00,card,completed
ORD-100224,2025-11-02,Canada,Beauty,Face Serum,1,32.00,32.00,apple_pay,completed
ORD-100225,2025-11-02,France,Electronics,Smart Watch,2,199.00,398.00,paypal,completed
ORD-100226,2025-11-02,United States,Home,Desk Lamp,1,35.00,35.00,paypal,completed
ORD-100227,2025-11-02,France,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100228,2025-11-02,Poland,Beauty,Face Serum,1,32.00,32.00,bnpl,completed
ORD-100229,2025-11-03,Poland,Beauty,Hair Dryer,3,89.00,267.00,apple_pay,completed
ORD-100230,2025-11-03,United States,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100231,2025-11-03,Romania,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100232,2025-11-03,Canada,Electronics,Bluetooth Speaker,1,59.00,59.00,apple_pay,completed
ORD-100233,2025-11-03,Canada,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100234,2025-11-03,Spain,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100235,2025-11-03,United Kingdom,Electronics,Wireless Earbuds,1,79.00,79.00,apple_pay,completed
ORD-100236,2025-11-03,United States,Apparel,Rain Jacket,1,120.00,120.00,apple_pay,refunded
ORD-100237,2025-11-03,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100238,2025-11-03,United States,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100239,2025-11-04,Germany,Apparel,Wool Sweater,1,70.00,70.00,card,completed
ORD-100240,2025-11-04,France,Electronics,Bluetooth Speaker,1,59.00,59.00,paypal,completed
ORD-100241,2025-11-04,United Kingdom,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100242,2025-11-04,Spain,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100243,2025-11-04,France,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100244,2025-11-04,France,Beauty,Hair Dryer,3,89.00,267.00,card,completed
ORD-100245,2025-11-04,United States,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100246,2025-11-04,Canada,Home,Desk Lamp,1,35.00,35.00,bnpl,completed
ORD-100247,2025-11-04,United States,Beauty,Face Serum,1,32.00,32.00,apple_pay,completed
ORD-100248,2025-11-04,France,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100249,2025-11-04,Spain,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100250,2025-11-05,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,paypal,completed
ORD-100251,2025-11-05,Germany,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100252,2025-11-05,Romania,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100253,2025-11-05,United Kingdom,Beauty,Hair Dryer,1,89.00,89.00,paypal,completed
ORD-100254,2025-11-05,France,Home,Air Purifier,2,149.00,298.00,paypal,completed
ORD-100255,2025-11-05,United States,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100256,2025-11-05,United Kingdom,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100257,2025-11-05,United Kingdom,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100258,2025-11-05,France,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100259,2025-11-05,Spain,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100260,2025-11-05,Romania,Beauty,Face Serum,1,32.00,32.00,apple_pay,completed
ORD-100261,2025-11-06,Germany,Electronics,USB-C Hub,1,39.00,39.00,paypal,completed
ORD-100262,2025-11-06,United States,Home,Coffee Grinder,1,49.00,49.00,bnpl,completed
ORD-100263,2025-11-06,Poland,Apparel,Running Shoes,3,95.00,285.00,paypal,completed
ORD-100264,2025-11-06,Germany,Home,Air Purifier,1,149.00,149.00,apple_pay,completed
ORD-100265,2025-11-06,France,Electronics,USB-C Hub,1,39.00,39.00,paypal,completed
ORD-100266,2025-11-06,United Kingdom,Home,Air Purifier,1,149.00,149.00,bnpl,completed
ORD-100267,2025-11-06,Germany,Apparel,Rain Jacket,1,120.00,120.00,apple_pay,completed
ORD-100268,2025-11-06,France,Beauty,Face Serum,1,32.00,32.00,apple_pay,completed
ORD-100269,2025-11-06,United States,Electronics,Smart Watch,1,199.00,199.00,bnpl,completed
ORD-100270,2025-11-06,Spain,Apparel,Rain Jacket,2,120.00,240.00,card,completed
ORD-100271,2025-11-06,Germany,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100272,2025-11-06,France,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100273,2025-11-07,United States,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100274,2025-11-07,France,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100275,2025-11-07,Germany,Apparel,Rain Jacket,1,120.00,120.00,apple_pay,completed
ORD-100276,2025-11-07,United States,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100277,2025-11-07,United Kingdom,Electronics,USB-C Hub,1,39.00,39.00,apple_pay,completed
ORD-100278,2025-11-07,United States,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100279,2025-11-07,Germany,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100280,2025-11-07,United States,Beauty,Face Serum,2,32.00,64.00,bnpl,completed
ORD-100281,2025-11-07,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,card,refunded
ORD-100282,2025-11-07,Spain,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100283,2025-11-07,Germany,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100284,2025-11-08,Canada,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100285,2025-11-08,United States,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100286,2025-11-08,Canada,Apparel,Wool Sweater,1,70.00,70.00,bnpl,completed
ORD-100287,2025-11-08,Poland,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100288,2025-11-08,Germany,Electronics,Smart Watch,1,199.00,199.00,apple_pay,completed
ORD-100289,2025-11-08,United States,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100290,2025-11-08,Spain,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100291,2025-11-08,Germany,Apparel,Rain Jacket,2,120.00,240.00,card,completed
ORD-100292,2025-11-09,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100293,2025-11-09,Spain,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100294,2025-11-09,France,Apparel,Rain Jacket,1,120.00,120.00,paypal,refunded
ORD-100295,2025-11-09,Spain,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100296,2025-11-09,United States,Apparel,Wool Sweater,2,70.00,140.00,apple_pay,completed
ORD-100297,2025-11-09,United States,Electronics,Smart Watch,1,199.00,199.00,bnpl,completed
ORD-100298,2025-11-09,United Kingdom,Beauty,Hair Dryer,2,89.00,178.00,card,completed
ORD-100299,2025-11-09,Poland,Apparel,Wool Sweater,2,70.00,140.00,card,completed
ORD-100300,2025-11-09,Spain,Home,Desk Lamp,1,35.00,35.00,bnpl,completed
