invoice_id,customer_id,invoice_date,plan,billing_cycle,mrr,amount,currency,payment_method,status,country
INV-5083,CUS-0038,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5084,CUS-0042,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5085,CUS-0057,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5086,CUS-0065,2025-12-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United States
INV-5087,CUS-0074,2025-12-03,Pro,monthly,99.00,99.00,USD,card,failed,Romania
INV-5088,CUS-0076,2025-12-03,Pro,monthly,99.00,99.00,USD,card,failed,Poland
INV-5089,CUS-0078,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5090,CUS-0080,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5091,CUS-0089,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5092,CUS-0093,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5093,CUS-0097,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5094,CUS-0104,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5095,CUS-0109,2025-12-03,Starter,monthly,29.00,29.00,USD,invoice,paid,Romania
INV-5096,CUS-0111,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5097,CUS-0120,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5098,CUS-0123,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5099,CUS-0124,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,Canada
INV-5100,CUS-0129,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5101,CUS-0136,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5102,CUS-0137,2025-12-03,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5103,CUS-0138,2025-12-03,Business,monthly,299.00,299.00,USD,card,paid,United Kingdom
INV-5104,CUS-0139,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5105,CUS-0140,2025-12-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5106,CUS-0141,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5107,CUS-0143,2025-12-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United Kingdom
INV-5108,CUS-0146,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5109,CUS-0156,2025-12-03,Business,monthly,299.00,299.00,USD,card,failed,Germany
INV-5110,CUS-0160,2025-12-03,Business,monthly,299.00,299.00,USD,card,paid,Spain
INV-5111,CUS-0167,2025-12-03,Starter,annual,29.00,288.84,USD,card,paid,United Kingdom
INV-5112,CUS-0175,2025-12-03,Pro,monthly,99.00,99.00,USD,invoice,paid,Germany
INV-5113,CUS-0176,2025-12-03,Business,monthly,299.00,299.00,USD,card,refunded,United States
INV-5114,CUS-0177,2025-12-03,Starter,annual,29.00,288.84,USD,card,paid,Germany
INV-5115,CUS-0178,2025-12-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Germany
INV-5116,CUS-0181,2025-12-03,Business,monthly,299.00,299.00,USD,sepa_debit,paid,Canada
INV-5117,CUS-0182,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5118,CUS-0185,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5119,CUS-0192,2025-12-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5120,CUS-0196,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5121,CUS-0201,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,Spain
INV-5122,CUS-0213,2025-12-03,Starter,monthly,29.00,29.00,USD,invoice,paid,United States
INV-5123,CUS-0214,2025-12-03,Starter,annual,29.00,288.84,USD,card,paid,Germany
INV-5124,CUS-0223,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,Canada
INV-5125,CUS-0227,2025-12-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Spain
INV-5126,CUS-0229,2025-12-03,Starter,monthly,29.00,29.00,USD,invoice,paid,Poland
INV-5127,CUS-0233,2025-12-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Canada
INV-5128,CUS-0234,2025-12-03,Pro,monthly,99.00,99.00,USD,card,failed,United Kingdom
INV-5129,CUS-0240,2025-12-03,Pro,annual,99.00,986.04,USD,sepa_debit,paid,United States
INV-5130,CUS-0003,2026-01-03,Starter,annual,29.00,288.84,USD,card,paid,United Kingdom
INV-5131,CUS-0004,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5132,CUS-0005,2026-01-03,Pro,annual,99.00,986.04,USD,card,failed,Canada
INV-5133,CUS-0008,2026-01-03,Business,monthly,299.00,299.00,USD,card,failed,Spain
INV-5134,CUS-0014,2026-01-03,Pro,monthly,99.00,99.00,USD,card,refunded,United Kingdom
INV-5135,CUS-0015,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5136,CUS-0018,2026-01-03,Pro,monthly,99.00,99.00,USD,invoice,paid,United States
INV-5137,CUS-0020,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Canada
INV-5138,CUS-0026,2026-01-03,Pro,monthly,99.00,99.00,USD,card,failed,France
INV-5139,CUS-0028,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Canada
INV-5140,CUS-0030,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United Kingdom
INV-5141,CUS-0035,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5142,CUS-0037,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5143,CUS-0038,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5144,CUS-0042,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5145,CUS-0043,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5146,CUS-0048,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Romania
INV-5147,CUS-0051,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5148,CUS-0057,2026-01-03,Starter,monthly,29.00,29.00,USD,card,failed,United Kingdom
INV-5149,CUS-0065,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United States
INV-5150,CUS-0068,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,United States
INV-5151,CUS-0072,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United States
INV-5152,CUS-0074,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5153,CUS-0076,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Poland
INV-5154,CUS-0078,2026-01-03,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5155,CUS-0080,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5156,CUS-0087,2026-01-03,Starter,annual,29.00,288.84,USD,card,paid,Romania
INV-5157,CUS-0089,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5158,CUS-0091,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5159,CUS-0093,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5160,CUS-0095,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5161,CUS-0097,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5162,CUS-0100,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,Poland
INV-5163,CUS-0104,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5164,CUS-0109,2026-01-03,Starter,monthly,29.00,29.00,USD,invoice,paid,Romania
INV-5165,CUS-0111,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5166,CUS-0119,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5167,CUS-0120,2026-01-03,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5168,CUS-0123,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5169,CUS-0124,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,Canada
INV-5170,CUS-0129,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5171,CUS-0131,2026-01-03,Pro,monthly,99.00,99.00,USD,invoice,paid,Spain
INV-5172,CUS-0135,2026-01-03,Pro,annual,99.00,986.04,USD,card,failed,France
INV-5173,CUS-0136,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5174,CUS-0137,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5175,CUS-0138,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,United Kingdom
INV-5176,CUS-0139,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5177,CUS-0140,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5178,CUS-0141,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5179,CUS-0143,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United Kingdom
INV-5180,CUS-0146,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5181,CUS-0150,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5182,CUS-0156,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5183,CUS-0160,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,Spain
INV-5184,CUS-0173,2026-01-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Germany
INV-5185,CUS-0175,2026-01-03,Pro,monthly,99.00,99.00,USD,invoice,paid,Germany
INV-5186,CUS-0176,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,United States
INV-5187,CUS-0178,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Germany
INV-5188,CUS-0180,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5189,CUS-0181,2026-01-03,Business,monthly,299.00,299.00,USD,sepa_debit,paid,Canada
INV-5190,CUS-0182,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5191,CUS-0185,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5192,CUS-0192,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5193,CUS-0194,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5194,CUS-0196,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5195,CUS-0199,2026-01-03,Business,monthly,299.00,299.00,USD,invoice,failed,Germany
INV-5196,CUS-0201,2026-01-03,Starter,monthly,29.00,29.00,USD,card,paid,Spain
INV-5197,CUS-0208,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5198,CUS-0213,2026-01-03,Starter,monthly,29.00,29.00,USD,invoice,paid,United States
INV-5199,CUS-0223,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,Canada
INV-5200,CUS-0227,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Spain
INV-5201,CUS-0229,2026-01-03,Starter,monthly,29.00,29.00,USD,invoice,paid,Poland
INV-5202,CUS-0231,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Canada
INV-5203,CUS-0233,2026-01-03,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Canada
INV-5204,CUS-0234,2026-01-03,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5205,CUS-0237,2026-01-03,Business,monthly,299.00,299.00,USD,card,paid,United Kingdom
INV-5206,CUS-0004,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5207,CUS-0008,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,Spain
INV-5208,CUS-0014,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5209,CUS-0015,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5210,CUS-0018,2026-02-14,Pro,monthly,99.00,99.00,USD,invoice,failed,United States
INV-5211,CUS-0020,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Canada
INV-5212,CUS-0026,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5213,CUS-0028,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Canada
INV-5214,CUS-0030,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United Kingdom
INV-5215,CUS-0035,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5216,CUS-0037,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5217,CUS-0038,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5218,CUS-0039,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,Poland
INV-5219,CUS-0042,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5220,CUS-0043,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5221,CUS-0047,2026-02-14,Business,monthly,299.00,299.00,USD,invoice,paid,United Kingdom
INV-5222,CUS-0048,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Romania
INV-5223,CUS-0049,2026-02-14,Starter,annual,29.00,288.84,USD,card,paid,Germany
INV-5224,CUS-0051,2026-02-14,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5225,CUS-0057,2026-02-14,Starter,monthly,29.00,29.00,USD,card,failed,United Kingdom
INV-5226,CUS-0065,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United States
INV-5227,CUS-0068,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,United States
INV-5228,CUS-0069,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,France
INV-5229,CUS-0072,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United States
INV-5230,CUS-0074,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5231,CUS-0076,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Poland
INV-5232,CUS-0078,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5233,CUS-0080,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5234,CUS-0083,2026-02-14,Business,monthly,299.00,299.00,USD,sepa_debit,paid,United Kingdom
INV-5235,CUS-0089,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5236,CUS-0091,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5237,CUS-0092,2026-02-14,Business,annual,299.00,2978.04,USD,invoice,paid,United States
INV-5238,CUS-0093,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5239,CUS-0095,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5240,CUS-0097,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5241,CUS-0098,2026-02-14,Starter,annual,29.00,288.84,USD,card,paid,United Kingdom
INV-5242,CUS-0100,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,Poland
INV-5243,CUS-0101,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Poland
INV-5244,CUS-0104,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5245,CUS-0106,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5246,CUS-0109,2026-02-14,Starter,monthly,29.00,29.00,USD,invoice,paid,Romania
INV-5247,CUS-0111,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5248,CUS-0119,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5249,CUS-0120,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5250,CUS-0123,2026-02-14,Starter,monthly,29.00,29.00,USD,card,refunded,Romania
INV-5251,CUS-0124,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,Canada
INV-5252,CUS-0127,2026-02-14,Pro,annual,99.00,986.04,USD,sepa_debit,paid,Spain
INV-5253,CUS-0128,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Spain
INV-5254,CUS-0129,2026-02-14,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5255,CUS-0131,2026-02-14,Pro,monthly,99.00,99.00,USD,invoice,paid,Spain
INV-5256,CUS-0136,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5257,CUS-0137,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5258,CUS-0138,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,United Kingdom
INV-5259,CUS-0139,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5260,CUS-0140,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5261,CUS-0141,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5262,CUS-0143,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United Kingdom
INV-5263,CUS-0146,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5264,CUS-0150,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5265,CUS-0155,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United States
INV-5266,CUS-0156,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5267,CUS-0160,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,Spain
INV-5268,CUS-0168,2026-02-14,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5269,CUS-0170,2026-02-14,Pro,annual,99.00,986.04,USD,card,paid,France
INV-5270,CUS-0173,2026-02-14,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Germany
INV-5271,CUS-0174,2026-02-14,Starter,monthly,29.00,29.00,USD,invoice,paid,Spain
INV-5272,CUS-0175,2026-02-14,Pro,monthly,99.00,99.00,USD,invoice,paid,Germany
INV-5273,CUS-0176,2026-02-14,Business,monthly,299.00,299.00,USD,card,paid,United States
INV-5274,CUS-0178,2026-02-14,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Germany
INV-5275,CUS-0180,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5276,CUS-0181,2026-02-14,Business,monthly,299.00,299.00,USD,sepa_debit,paid,Canada
INV-5277,CUS-0182,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5278,CUS-0185,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5279,CUS-0188,2026-02-14,Pro,annual,99.00,986.04,USD,card,paid,Poland
INV-5280,CUS-0194,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5281,CUS-0196,2026-02-14,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5282,CUS-0201,2026-02-14,Starter,monthly,29.00,29.00,USD,card,paid,Spain
INV-5283,CUS-0206,2026-02-14,Pro,monthly,99.00,99.00,USD,invoice,paid,Canada
